CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1542,4,4,358,49,10,32,44,85,377,1,16,11,8,0,0,22,7,4,6,24,6,0,0,1060,0,23,1083,2266
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1543,5,5,701,75,16,35,63,146,670,6,33,24,8,0,0,47,16,5,4,37,2,2,0,1890,0,19,1909,3106
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1544,2,2,404,48,9,23,38,70,216,3,7,18,6,0,0,17,0,0,3,38,1,0,1,902,2,14,918,1497
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1545,3,4,543,99,21,28,36,132,420,11,14,25,11,0,0,19,3,0,4,31,10,0,0,1407,0,26,1433,1369
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1546,2,2,173,31,3,10,15,48,137,4,8,6,5,0,0,18,1,3,3,17,1,0,0,483,0,13,496,838
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1547,1,1,178,30,9,8,7,28,133,4,5,7,8,0,0,9,1,2,3,12,2,0,0,446,0,13,459,734
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1548,1,1,160,24,3,6,9,26,79,3,4,1,0,0,0,6,2,1,4,15,1,0,0,344,0,12,356,614
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1549,1,1,151,22,1,1,5,32,41,0,2,3,0,0,0,1,0,0,1,12,1,0,0,273,0,3,276,401
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1550,1,1,122,19,4,7,6,15,75,2,3,5,4,0,0,5,0,0,0,13,0,0,0,280,0,3,283,512
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1551,1,1,113,27,3,3,14,25,109,0,3,2,1,0,0,5,0,0,0,11,0,0,0,316,0,5,321,535
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1552,2,2,179,26,2,13,24,27,165,4,4,6,4,0,0,12,0,2,6,10,6,0,0,490,0,13,503,865
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1553,2,2,132,10,4,18,12,29,179,2,4,1,1,0,0,9,0,1,2,10,1,0,0,415,0,10,425,834
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1554,2,2,106,15,2,12,15,14,129,3,2,5,15,0,0,4,0,0,0,4,0,0,0,326,0,9,335,783
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1555,2,2,198,23,5,18,17,33,157,0,5,3,1,0,0,14,0,2,2,15,2,1,0,496,0,6,502,862
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1556,2,2,231,25,4,6,20,36,195,0,10,8,5,0,0,10,0,1,3,11,2,0,0,567,0,14,581,1025
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1557,2,2,100,13,7,11,21,24,159,1,7,2,5,0,0,10,0,5,1,6,5,0,0,377,1,7,385,831
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1558,1,1,70,8,2,5,7,11,98,2,2,1,1,0,0,12,1,0,3,1,0,0,0,224,0,8,232,547
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1559,1,1,103,6,4,6,14,20,116,0,1,3,9,0,0,11,0,0,0,10,0,0,0,303,0,7,310,663
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1560,1,1,115,21,3,14,12,18,136,0,5,6,1,0,0,14,0,0,0,9,0,0,0,354,0,15,369,656
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1561,1,1,146,15,3,7,12,27,110,4,7,8,3,0,0,5,3,0,3,13,2,0,0,368,0,15,383,726
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1562,1,1,179,21,3,13,10,32,91,2,18,8,0,0,0,2,0,1,1,11,5,1,0,398,0,8,406,648
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1563,2,2,249,40,6,21,11,33,141,4,2,9,4,0,0,8,2,5,0,13,4,0,0,552,0,7,559,937
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1564,1,1,130,26,5,7,4,32,99,4,10,5,1,0,0,4,0,2,0,10,1,0,1,341,0,6,347,602
