CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,270,14,15,2717,224,84,138,88,501,1538,98,32,7,0,5427,2,180,5609,9031
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,271,2,2,170,19,17,17,7,31,151,5,5,0,0,422,0,18,440,848
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,272,2,2,253,32,3,25,6,32,158,5,5,0,0,519,1,20,540,802
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,273,1,1,215,26,5,10,14,39,116,4,2,0,0,431,0,20,451,731
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,274,1,1,291,34,11,13,10,19,98,10,4,1,0,491,0,17,508,742
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,275,2,2,290,34,5,20,7,28,135,11,4,1,1,536,5,19,560,831
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,276,2,2,380,40,12,8,4,32,118,11,6,2,0,613,0,17,630,914
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,277,1,1,298,30,3,10,2,29,84,3,3,0,0,462,2,20,484,717
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,278,1,1,339,26,5,10,6,26,105,7,4,0,0,528,0,13,541,725
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,279,1,1,339,40,3,5,6,24,62,10,6,0,0,495,4,11,510,633
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,280,1,1,272,27,9,9,1,24,69,13,1,0,0,425,0,9,434,581
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,281,1,1,303,17,5,9,8,33,86,8,5,0,0,474,1,11,486,649
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,282,2,2,403,31,11,20,5,45,151,10,5,2,0,683,0,30,713,1121
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,283,1,1,328,29,10,5,3,23,53,10,3,1,0,465,0,8,473,594
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,284,2,2,318,33,4,21,11,48,209,12,2,0,0,658,1,32,691,1104
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,285,1,1,225,20,11,16,10,24,107,5,1,1,0,420,1,18,439,622
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,286,1,1,179,16,2,7,7,23,113,8,2,0,0,357,1,16,374,570
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,287,1,1,136,17,4,8,1,17,93,7,2,0,0,285,0,15,300,541
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,288,2,2,279,23,10,7,1,33,123,8,3,0,0,487,1,18,506,775
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,289,1,1,222,15,20,8,1,33,100,7,4,0,0,410,1,27,438,717
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,290,1,1,214,17,13,4,5,20,104,3,4,0,0,384,0,1,385,656
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,291,2,2,372,37,13,18,8,59,216,10,4,0,0,737,0,35,772,1222
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,292,2,2,210,20,49,23,5,46,159,7,2,1,0,522,0,28,550,1008
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,293,2,2,268,25,5,26,10,47,162,10,4,0,0,557,1,24,582,935
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,294,2,2,274,24,13,18,12,42,155,11,1,1,0,551,0,23,574,986
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,295,2,2,308,24,18,19,6,46,196,3,2,1,0,623,1,36,660,1137
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,296,2,2,313,40,9,15,7,47,173,5,6,1,0,616,1,30,647,963
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,297,2,2,235,18,20,15,9,36,149,7,4,0,0,493,0,22,515,818
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,298,2,2,317,39,32,22,9,49,200,13,6,3,0,690,0,39,729,1201
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,299,2,2,296,32,22,12,11,45,201,9,0,0,0,628,0,13,641,1206
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,300,3,4,306,41,23,13,19,50,221,7,4,1,0,685,0,29,714,987
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,301,8,8,2674,206,50,86,35,224,893,95,22,1,0,4286,3,107,4396,5855
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,302,3,3,650,58,13,43,32,86,324,16,2,0,0,1224,0,35,1259,2038
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,303,3,3,685,86,39,48,31,118,295,34,8,1,0,1345,2,60,1407,2117
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,304,2,2,218,37,17,25,10,24,224,10,7,1,1,574,1,36,611,1151
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,305,2,2,220,29,22,23,6,37,242,11,4,0,0,594,0,35,629,1119
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,306,2,2,226,31,13,23,17,34,239,7,3,2,0,595,1,39,635,1067
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,307,2,2,299,40,12,32,24,57,234,6,4,1,0,709,1,31,741,1200
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,308,2,2,281,34,10,25,16,53,188,9,3,0,0,619,2,16,637,935
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,309,2,2,283,28,6,16,18,40,173,9,5,0,0,578,0,31,609,982
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,310,2,2,318,30,7,23,18,51,264,9,2,0,0,722,0,28,750,1038
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,311,2,2,312,43,10,20,15,46,232,8,5,0,0,691,0,31,722,1074
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,312,2,2,291,48,15,30,17,51,228,19,8,1,0,708,0,46,754,1141
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,313,2,2,216,46,27,30,20,39,264,6,3,0,0,651,0,38,689,1223
