CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,10,DURANGO,4,DURANGO,5,DURANGO,390,2,2,61,159,18,47,35,23,201,7,8,4,4,0,567,0,28,595,1259
1,10,DURANGO,4,DURANGO,5,DURANGO,397,3,3,108,210,21,32,26,52,187,26,12,1,0,0,675,1,34,710,1647
1,10,DURANGO,4,DURANGO,5,DURANGO,398,3,3,194,225,12,44,52,69,308,16,19,0,0,0,939,0,75,1014,2172
1,10,DURANGO,4,DURANGO,5,DURANGO,399,2,2,106,196,13,29,50,50,129,24,4,0,0,0,601,0,25,626,1333
1,10,DURANGO,4,DURANGO,5,DURANGO,400,3,3,105,234,14,44,61,48,191,16,15,1,1,0,730,1,56,787,1842
1,10,DURANGO,4,DURANGO,5,DURANGO,401,2,2,43,212,3,24,26,16,197,18,3,0,0,0,542,0,36,578,1182
1,10,DURANGO,4,DURANGO,5,DURANGO,402,2,2,89,138,5,12,17,27,211,8,5,0,0,0,512,1,37,550,1188
1,10,DURANGO,4,DURANGO,5,DURANGO,405,2,2,171,103,17,23,36,34,233,11,5,0,0,0,633,0,51,684,1395
1,10,DURANGO,4,DURANGO,5,DURANGO,407,1,1,8,112,1,14,7,1,69,3,1,0,0,0,216,0,24,240,398
1,10,DURANGO,4,DURANGO,5,DURANGO,408,1,1,15,46,0,2,1,3,59,3,2,0,0,0,131,0,13,144,285
1,10,DURANGO,4,DURANGO,5,DURANGO,409,3,3,56,299,4,22,28,30,262,26,10,0,1,0,738,2,51,791,1578
1,10,DURANGO,4,DURANGO,5,DURANGO,410,3,3,174,199,7,41,28,24,209,26,17,0,1,0,726,0,61,787,1857
1,10,DURANGO,4,DURANGO,5,DURANGO,411,3,3,94,265,26,30,46,42,309,15,6,1,0,0,834,0,57,891,1914
1,10,DURANGO,4,DURANGO,5,DURANGO,412,3,3,79,176,18,28,37,35,254,17,8,0,1,0,653,0,41,694,1532
1,10,DURANGO,4,DURANGO,5,DURANGO,413,1,1,14,54,4,7,8,11,116,4,1,0,0,0,219,0,10,229,542
1,10,DURANGO,4,DURANGO,5,DURANGO,414,1,1,47,74,9,20,18,11,107,3,6,0,1,0,296,0,21,317,714
1,10,DURANGO,4,DURANGO,5,DURANGO,415,1,1,1,14,0,1,1,3,35,1,1,0,0,0,57,0,2,59,111
1,10,DURANGO,4,DURANGO,5,DURANGO,416,2,2,21,79,1,13,5,9,236,4,2,0,0,0,370,0,37,407,762
1,10,DURANGO,4,DURANGO,5,DURANGO,417,1,1,15,36,0,4,2,0,82,0,1,0,0,0,140,0,16,156,267
1,10,DURANGO,4,DURANGO,5,DURANGO,418,1,1,1,13,0,3,8,0,63,0,0,0,0,0,88,0,3,91,217
1,10,DURANGO,5,DURANGO,5,DURANGO,0,0,1,7,4,1,0,0,0,4,0,0,0,0,0,16,0,1,17,17
1,10,DURANGO,5,DURANGO,5,DURANGO,182,2,2,71,91,4,20,34,127,124,6,4,0,0,0,481,0,37,518,891
1,10,DURANGO,5,DURANGO,5,DURANGO,183,2,2,66,62,2,18,26,92,125,9,1,0,0,0,401,0,24,425,798
1,10,DURANGO,5,DURANGO,5,DURANGO,184,2,2,114,120,3,29,37,153,191,7,2,0,0,0,656,0,37,693,1132
1,10,DURANGO,5,DURANGO,5,DURANGO,185,2,2,160,98,2,21,29,137,160,10,8,0,0,0,625,0,18,643,923
1,10,DURANGO,5,DURANGO,5,DURANGO,186,1,1,113,85,5,8,5,47,37,5,9,0,1,0,315,0,5,320,443
1,10,DURANGO,5,DURANGO,5,DURANGO,188,2,2,238,177,7,25,29,126,100,25,3,1,0,0,731,1,17,749,1058
1,10,DURANGO,5,DURANGO,5,DURANGO,189,1,1,107,81,3,6,12,86,70,22,3,0,1,0,391,1,13,405,609
1,10,DURANGO,5,DURANGO,5,DURANGO,190,1,1,100,84,5,16,11,81,97,12,2,0,0,0,408,0,8,416,585
1,10,DURANGO,5,DURANGO,5,DURANGO,191,1,1,156,101,8,9,8,108,91,11,4,0,0,0,496,0,9,505,739
1,10,DURANGO,5,DURANGO,5,DURANGO,192,1,1,154,82,7,14,6,96,77,22,9,0,0,0,467,0,17,484,712
1,10,DURANGO,5,DURANGO,5,DURANGO,194,2,2,134,110,16,30,11,149,110,14,2,1,0,0,577,0,23,600,860
1,10,DURANGO,5,DURANGO,5,DURANGO,205,1,1,116,105,15,9,11,94,92,16,4,0,0,0,462,3,19,484,687
