CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,96,3,3,243,36,11,43,42,37,459,13,0,0,3,12,20,6,1,0,21,28,1,5,3,0,8,1,5,2,0,1000,0,30,1030,1905
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,97,2,2,251,17,6,25,43,9,312,18,0,0,1,8,8,2,0,0,4,4,1,0,0,1,0,0,6,0,0,716,0,42,758,1225
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,98,7,7,452,80,25,106,84,64,1210,30,0,0,11,11,28,4,6,18,58,42,5,2,4,10,12,5,21,0,7,2295,1,63,2359,5037
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,99,2,2,99,9,5,13,8,4,235,11,0,0,1,8,8,2,0,0,11,5,0,1,4,2,0,1,1,1,0,429,0,17,446,937
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,100,3,3,304,26,6,28,34,15,345,11,0,0,9,12,24,3,1,1,24,20,3,4,1,3,7,0,4,1,3,889,0,17,906,1807
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,101,3,3,267,23,4,26,33,26,364,9,0,0,4,4,17,4,0,0,16,14,0,1,1,2,3,4,2,1,1,826,0,29,855,1537
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,102,3,3,259,9,10,22,51,18,365,15,0,0,3,5,28,1,4,0,27,24,1,0,1,4,6,0,8,0,2,863,0,17,880,1640
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,103,2,2,231,20,5,28,30,12,313,10,0,0,2,0,15,1,4,0,21,9,0,2,0,2,5,1,3,0,4,718,1,10,729,1266
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,104,3,3,295,23,8,25,30,15,466,11,0,0,3,5,29,2,1,0,23,24,0,1,3,4,8,2,9,0,6,993,0,31,1024,1994
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,105,3,3,285,33,9,44,42,14,416,19,0,0,4,4,22,7,2,0,19,17,0,2,3,4,4,0,5,0,1,956,0,19,975,1688
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,106,3,3,211,27,11,41,45,19,473,17,0,0,1,9,25,5,7,0,35,12,6,1,1,3,8,0,10,0,4,971,1,17,989,1762
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,107,4,4,325,48,25,55,52,19,583,21,0,0,5,9,44,12,4,1,34,18,1,4,4,5,6,2,13,1,4,1295,0,31,1326,2367
