CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,813,4,4,611,56,3,15,36,45,663,0,37,25,2,3,11,1507,1,46,1554,2798
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,816,9,9,1151,132,5,53,70,114,1679,0,74,55,5,8,22,3368,0,102,3470,6286
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,817,5,5,643,65,5,24,39,69,854,0,44,19,0,4,10,1776,0,41,1817,3354
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,818,6,6,697,78,2,28,42,73,1112,0,61,38,2,10,16,2159,0,44,2203,3803
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,819,2,2,179,24,0,8,12,21,283,0,9,19,0,2,3,560,0,14,574,1040
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,820,2,2,106,10,1,2,8,5,125,0,7,12,0,2,2,280,0,1,281,1062
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,821,1,1,106,6,2,5,7,6,127,0,9,2,0,0,3,273,0,7,280,499
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,822,1,1,122,25,0,8,5,9,156,0,0,0,0,0,0,325,0,14,339,622
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,823,2,2,226,39,1,5,14,17,224,0,17,14,1,2,6,566,2,17,585,1009
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,824,2,2,225,45,0,8,11,24,213,0,13,10,0,1,4,554,1,9,564,996
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,825,2,2,260,55,1,9,19,21,213,0,18,14,3,3,2,618,1,17,636,1179
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,826,2,2,257,26,1,8,12,16,250,0,25,21,0,2,5,623,0,17,640,1102
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,827,2,2,286,52,0,6,19,23,273,0,16,16,1,1,2,695,0,21,716,1256
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,828,2,2,296,43,1,5,13,28,290,0,15,18,0,2,6,717,0,13,730,1353
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,829,2,2,232,24,0,8,19,19,182,0,19,9,0,0,1,513,0,10,523,882
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,830,2,2,91,11,0,1,6,7,94,0,10,5,0,5,1,231,0,2,233,801
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,831,1,1,196,20,0,3,19,21,183,0,14,6,0,3,2,467,0,11,478,398
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,832,2,2,95,14,0,2,5,8,85,0,6,4,0,0,1,220,1,2,223,892
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,833,1,1,89,13,0,3,6,11,105,0,4,2,0,1,2,236,0,3,239,488
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,834,1,1,127,20,2,2,17,7,100,0,10,4,0,1,2,292,1,5,298,565
