ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,76,LOS REYES,35,104,105,12105,1730,5389,737,1267,708,6611,195,61,35,76,0,0,509,90,70,112,,1280,,,30975,25,1437,32437,61411,
16,MICHOACAN,77,SAHUAYO,49,103,104,12405,1077,293,1185,3164,1668,10223,400,87,60,396,0,0,1211,126,126,322,845,203,42,18,33851,7,1067,34925,58840,
16,MICHOACAN,78,SAN LUCAS,20,30,30,179,2053,247,282,157,100,2877,26,111,9,26,0,0,302,32,51,35,193,10,2,4,6696,0,331,7027,14931,
16,MICHOACAN,79,SANTA ANA MAYA,11,23,24,551,819,188,1471,533,245,1756,56,39,29,58,0,0,27,20,15,12,92,16,9,2,5938,0,264,6202,12288,
16,MICHOACAN,80,SALVADOR ESCALANTE,24,61,61,990,2922,3120,798,1778,3751,5037,1087,137,83,124,0,0,418,94,80,116,158,39,25,27,20784,2,1561,22347,38067,
16,MICHOACAN,81,SENGUIO,11,29,29,245,2950,295,405,488,372,3245,87,46,47,68,0,0,466,53,44,79,137,153,6,17,9203,0,635,9838,16263,
16,MICHOACAN,82,SUSUPUATO,10,15,15,213,396,552,1194,147,570,621,48,34,1,16,0,0,53,33,38,11,81,7,8,4,4027,0,405,4432,7256,
16,MICHOACAN,83,TACAMBARO,38,102,103,3900,3690,576,3678,1527,5601,6980,640,212,147,149,0,0,1144,210,214,173,398,114,27,16,29396,12,1598,31006,60071,
16,MICHOACAN,84,TANCITARO,15,40,40,2704,860,307,394,482,1077,2943,553,68,21,32,0,0,302,34,58,42,288,262,8,7,10442,1,599,11042,24187,
16,MICHOACAN,85,TANGAMANDAPIO,14,43,43,779,1862,505,366,823,792,5351,42,64,47,50,0,0,338,38,187,111,,141,,,11496,5,580,12081,25661,
16,MICHOACAN,86,TANGANCICUARO,27,55,55,3273,2437,486,306,707,293,3371,122,766,144,118,0,0,196,37,22,71,137,32,113,8,12639,3,629,13271,30423,
