CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,48,C,2,0,C02,0,332,22,3,3,6,27,59,0,0,16,3,0,0,471,0,6,477,650,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,49,B,1,0,B,0,289,26,6,8,5,35,98,0,0,3,2,1,0,473,0,18,491,744,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,49,C,1,0,C01,0,275,19,5,14,4,38,92,0,0,14,9,0,0,470,2,17,489,743,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,50,B,1,0,B,0,234,16,5,2,5,31,88,0,0,10,1,0,0,392,1,8,401,580,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,50,C,1,0,C01,0,241,17,2,6,2,19,72,0,0,7,1,0,0,367,0,9,376,580,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,50,C,2,0,C02,0,238,25,1,4,7,24,74,0,0,6,1,1,0,381,0,12,393,580,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,51,B,1,0,B,0,217,17,3,9,9,44,75,0,0,13,3,0,0,390,0,10,400,585,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,51,C,1,0,C01,0,231,21,6,6,9,25,82,0,0,4,4,1,0,389,0,18,407,584,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,52,B,1,0,B,0,278,14,3,4,6,29,89,0,0,9,3,1,1,437,0,13,450,619,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,52,C,1,0,C01,0,249,14,3,4,2,31,75,0,0,8,3,0,0,389,0,14,403,619,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,53,B,1,0,B,0,255,18,2,5,2,21,64,0,0,9,1,1,0,378,2,10,390,534,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,53,C,1,0,C01,0,268,14,0,9,8,29,58,0,0,10,3,2,0,401,0,10,411,534,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,53,C,2,0,C02,0,290,9,2,6,4,35,51,0,0,0,0,0,0,397,0,9,406,534,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,54,B,1,0,B,0,136,16,3,6,1,20,90,0,0,6,4,0,0,282,0,9,291,532,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,54,C,1,0,C01,0,149,16,2,7,8,22,83,0,0,5,3,0,0,295,0,3,298,531,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,55,B,1,0,B,0,204,10,7,5,4,27,85,0,0,6,3,2,0,353,0,14,367,534,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,55,C,1,0,C01,0,203,11,4,4,4,25,61,0,0,8,1,1,0,322,0,13,335,533,Grupo de recuento,,,
