ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,58,CHICONAMEL,6,9,9,207,317,136,168,116,102,1450,71,36,16,1,1,33,6,12,8,2680,0,161,2841,4856,
30,VERACRUZ,60,CHICONTEPEC,47,82,82,1718,1639,992,2673,1237,1364,12353,621,125,47,16,13,443,87,184,69,23581,3,1055,24639,39497,
30,VERACRUZ,65,CHONTLA,10,19,19,1203,992,146,240,194,384,2524,107,68,32,3,2,92,23,25,13,6048,0,230,6278,9486,
30,VERACRUZ,80,IXCATEPEC,8,16,16,575,450,1044,273,172,235,2727,99,67,11,14,0,66,15,34,9,5791,0,182,5973,8930,
30,VERACRUZ,130,PLATON SANCHEZ,14,24,24,1597,270,56,243,172,210,2923,199,76,34,3,8,114,22,31,14,5972,1,278,6251,12993,
30,VERACRUZ,156,TANTOYUCA,60,128,128,18480,2011,362,1761,853,1255,16791,569,539,211,40,16,747,119,206,74,44034,9,1340,45383,71378,
30,VERACRUZ,160,TEMPOAL,33,49,49,1782,1718,169,793,448,606,7109,405,165,61,15,10,325,85,98,54,13843,3,711,14557,25061,
30,VERACRUZ,166,TEPETZINTLA,9,19,19,1150,239,77,230,129,581,3765,130,43,22,3,1,134,20,28,18,6570,0,230,6800,10581,
30,VERACRUZ,35,CAZONES DE HERRERA,15,35,35,1631,628,143,596,371,1056,5824,195,107,38,11,2,241,38,91,42,11014,1,377,11392,18961,
30,VERACRUZ,152,TAMIAHUA,21,37,37,997,887,274,2659,235,353,3952,293,79,46,5,4,139,43,125,28,10119,8,352,10479,16871,
30,VERACRUZ,174,TIHUATLAN,49,118,118,2079,1533,3642,1341,2098,2341,21096,1024,341,50,40,18,1185,131,262,191,37372,20,1530,38922,68243,
30,VERACRUZ,188,TUXPAN,81,200,200,9207,3727,981,2930,1360,7326,30178,1456,816,188,35,15,1972,127,524,251,61093,219,1849,63161,116497,
30,VERACRUZ,8,ALAMO TEMAPACHE,69,145,145,7996,2298,819,3030,1548,5388,18904,1116,488,148,37,13,0,0,0,0,41785,11,3046,44842,80534,
30,VERACRUZ,28,BENITO JUAREZ,10,21,21,1114,1461,86,544,168,352,3230,200,37,21,3,5,0,0,0,0,7221,6,536,7763,11760,
30,VERACRUZ,33,CASTILLO DE TEAYO,15,27,27,1270,371,85,586,477,468,5071,170,54,27,3,0,0,0,0,0,8582,0,704,9286,15025,
30,VERACRUZ,36,CERRO AZUL,24,34,34,888,792,69,793,241,918,5965,200,84,26,3,0,0,0,0,0,9979,5,546,10530,17716,
30,VERACRUZ,74,HUAYACOCOTLA,18,33,33,673,1079,853,447,587,420,4100,258,167,16,4,8,0,0,0,0,8612,5,889,9506,15283,
30,VERACRUZ,78,ILAMATLAN,13,21,21,571,520,184,1532,416,126,1544,125,24,18,3,2,0,0,0,0,5065,0,371,5436,9483,
30,VERACRUZ,82,IXHUATLAN DE MADERO,33,64,64,1197,4876,332,1084,1158,777,10198,714,174,57,10,11,0,0,0,0,20588,12,1580,22180,36285,
30,VERACRUZ,169,TEXCATEPEC,5,15,15,1623,796,84,170,89,103,2042,80,48,19,11,1,0,0,0,0,5066,0,235,5301,7830,
30,VERACRUZ,179,TLACHICHILCO,9,16,16,922,585,98,286,211,249,2128,110,47,22,1,5,0,0,0,0,4664,0,331,4995,8268,
30,VERACRUZ,198,ZACUALPAN,6,12,12,573,204,156,85,199,121,1618,51,31,8,6,3,0,0,0,0,3055,0,209,3264,4875,
30,VERACRUZ,202,ZONTECOMATLAN,8,20,20,1125,481,86,494,228,336,2239,173,51,33,10,2,0,0,0,0,5258,0,503,5761,9921,
30,VERACRUZ,42,COATZINTLA,32,69,69,1777,1139,501,822,517,2240,12977,450,184,20,5,9,673,45,141,90,21590,13,627,22230,40007,
30,VERACRUZ,132,POZA RICA DE HIDALGO,110,254,254,11288,5549,1714,2605,1631,8345,48231,2257,1121,183,47,24,2955,172,656,427,87205,66,2102,89373,146998,
30,VERACRUZ,39,COAHUITLAN,3,11,11,639,120,21,1127,83,92,1544,64,28,6,2,0,52,6,15,5,3804,0,113,3917,6129,
30,VERACRUZ,52,COXQUIHUI,9,20,20,1993,266,84,441,185,261,3212,166,98,24,6,0,130,19,39,10,6934,0,322,7256,11624,
30,VERACRUZ,53,COYUTLA,11,29,29,723,441,166,493,369,506,7262,227,56,28,3,1,258,48,68,53,10702,1,621,11324,17372,
30,VERACRUZ,66,CHUMATLAN,2,5,5,374,81,141,56,187,79,868,35,12,3,3,0,22,3,4,9,1877,0,77,1954,3233,
30,VERACRUZ,68,ESPINAL,15,39,39,977,1388,766,3106,244,562,4328,128,162,31,8,10,234,51,135,17,12147,3,459,12609,20604,
30,VERACRUZ,69,FILOMENO MATA,7,19,19,805,1371,736,166,163,915,2676,129,66,13,3,6,65,12,17,10,7153,0,238,7391,11786,
30,VERACRUZ,104,MECATLAN,5,14,14,927,479,96,210,405,207,2088,102,66,30,7,1,72,26,16,20,4752,0,253,5005,8507,
30,VERACRUZ,125,PAPANTLA,95,221,221,5082,5017,9524,2757,1695,7123,33855,1048,1050,107,68,72,1591,173,380,193,69735,15,2176,71926,124137,
30,VERACRUZ,203,ZOZOCOLCO DE HIDALGO,8,16,16,1690,187,56,200,131,208,3030,77,73,14,2,1,104,12,16,9,5810,0,218,6028,9795,
30,VERACRUZ,71,GUTIERREZ ZAMORA,23,37,37,1106,734,1032,498,320,879,5586,190,211,18,13,9,281,30,68,40,11015,1,359,11375,18375,
30,VERACRUZ,103,MARTINEZ DE LA TORRE,68,151,151,6594,2112,865,1234,769,3151,25235,985,440,87,24,15,1179,104,352,163,43309,28,1257,44594,83259,
30,VERACRUZ,158,TECOLUTLA,28,45,45,1364,852,485,1495,233,565,5594,182,113,26,10,20,211,40,97,38,11325,1,345,11671,19298,
30,VERACRUZ,182,TLAPACOYAN,34,85,85,2236,1383,318,2180,446,1552,11148,585,201,70,9,8,588,73,230,71,21098,19,895,22012,45160,
30,VERACRUZ,211,SAN RAFAEL,28,47,47,1113,767,3137,573,222,438,7308,217,176,23,28,15,281,43,97,32,14470,4,363,14837,24096,
30,VERACRUZ,2,ACATLAN,2,4,4,351,119,15,209,123,145,600,32,20,9,0,0,23,3,14,3,1666,0,57,1723,2598,
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,48,48,880,701,110,558,2260,1857,3906,1515,83,23,5,3,338,93,88,131,12551,1,581,13133,22303,
