CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,182,SAN JUAN BAUTISTA TUXTEPEC,1057,2,2,21,21,6,112,25,8,247,5,49,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,35,556,842
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1372,3,3,13,218,3,50,80,18,550,6,194,58,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,0,63,1262,1842
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1373,2,2,3,65,0,22,70,7,308,4,153,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,35,695,968
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1374,2,2,5,70,1,34,101,13,416,3,186,77,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,33,946,1346
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1375,3,3,3,91,0,31,58,11,325,2,157,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,32,773,979
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1376,2,2,1,87,1,36,53,4,295,7,140,30,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,44,704,992
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1377,3,3,30,268,4,21,12,35,423,6,272,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,62,1162,1640
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1378,2,2,1,176,1,4,12,2,92,1,24,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,14,365,506
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1379,3,3,4,264,1,38,27,5,209,5,412,151,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,59,1181,1486
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1380,2,2,8,231,1,17,31,11,172,2,24,39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,31,569,819
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1381,2,2,7,136,0,41,16,17,273,3,24,150,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,29,702,961
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,276,SAN MIGUEL SOYALTEPEC,1382,2,2,7,115,2,34,13,10,341,2,64,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,32,695,941
