CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1818,2,2,251,116,16,26,17,45,53,4,5,12,6,13,20,4,0,2,0,1,0,0,3,0,594,3,11,608,805
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1819,2,2,69,37,6,80,54,83,158,10,10,13,15,16,9,1,1,0,3,3,1,0,11,0,580,0,29,609,1076
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1821,2,2,98,70,13,53,42,93,129,17,7,20,8,15,12,2,1,0,3,2,0,0,14,0,599,1,36,636,1044
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1822,2,2,62,45,5,45,45,74,161,18,10,6,8,16,6,2,0,0,1,2,1,0,8,0,515,0,42,557,914
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1823,2,2,40,42,9,62,39,62,145,9,8,19,7,16,10,3,0,0,1,0,0,1,13,0,486,0,43,529,953
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1824,2,2,86,49,6,55,42,74,146,12,9,16,10,16,9,3,1,1,3,0,1,0,12,0,551,1,25,577,844
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1825,2,2,99,39,9,55,33,62,130,8,3,11,14,18,11,1,0,1,2,1,1,0,10,0,508,1,24,533,839
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1826,1,1,222,80,11,18,20,32,45,4,5,13,4,8,15,3,0,0,0,0,0,1,2,0,483,0,10,493,670
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1827,1,1,162,77,8,14,18,30,73,10,2,5,6,11,14,5,0,0,0,1,0,0,8,0,444,2,14,460,589
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1828,1,1,102,39,3,12,24,48,77,4,2,8,6,4,9,3,1,0,1,1,0,0,7,0,351,0,16,367,532
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1829,1,1,51,30,6,11,23,33,53,3,3,9,6,5,9,0,0,0,0,0,0,0,4,0,246,0,17,263,415
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1830,1,1,79,34,2,22,26,27,89,5,4,7,8,10,10,2,0,0,1,0,0,0,7,0,333,0,14,347,565
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1831,5,5,722,286,28,121,100,168,287,29,17,47,57,34,73,10,2,0,5,2,0,0,18,0,2006,1,56,2063,2940
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1832,2,2,76,62,8,93,64,60,180,15,9,12,8,25,10,3,2,0,7,2,1,6,6,0,649,0,46,695,1254
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1833,1,1,57,54,8,45,31,52,103,9,3,9,4,5,3,2,0,0,1,0,1,1,8,0,396,0,28,424,690
