CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,2,COLIMA,1,COLIMA,73,8,8,451,254,35,78,57,654,844,51,72,0,0,46,52,10,6,9,2619,2,89,2710,5031
5,6,COLIMA,2,COLIMA,1,COLIMA,74,3,3,169,87,13,48,21,215,295,25,44,0,0,18,21,8,2,6,972,0,34,1006,1858
5,6,COLIMA,3,COLIMA,1,COLIMA,75,3,3,134,72,6,25,24,255,300,17,10,0,0,9,27,4,2,6,891,0,27,918,1673
5,6,COLIMA,3,COLIMA,1,COLIMA,76,4,4,204,92,17,34,41,328,481,18,16,0,0,25,34,7,1,4,1302,1,45,1348,2864
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,77,4,4,633,309,14,25,22,536,325,40,17,0,0,53,20,8,1,2,2005,0,41,2046,2984
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,78,1,1,93,38,8,4,2,53,48,11,4,0,0,5,3,0,0,0,269,0,8,277,367
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,79,4,4,460,289,21,40,27,368,302,27,18,0,0,51,17,2,1,5,1628,2,44,1674,2454
5,6,COLIMA,3,COLIMA,1,COLIMA,80,1,1,80,54,2,7,4,119,100,7,5,0,0,11,7,4,2,1,403,0,11,414,707
5,6,COLIMA,2,COLIMA,1,COLIMA,81,4,4,208,198,10,30,22,305,452,42,17,0,0,24,35,9,5,10,1367,0,47,1414,2443
5,6,COLIMA,3,COLIMA,1,COLIMA,83,3,3,58,44,5,20,13,150,160,5,8,0,0,5,9,1,3,2,483,0,15,498,872
5,6,COLIMA,3,COLIMA,1,COLIMA,84,3,3,78,156,6,25,30,243,274,8,4,0,0,9,19,2,6,5,865,0,52,917,1489
5,6,COLIMA,3,COLIMA,1,COLIMA,85,4,4,99,108,0,18,12,131,217,5,6,0,0,14,4,7,2,1,624,0,27,651,1117
5,6,COLIMA,3,COLIMA,1,COLIMA,86,1,1,23,11,3,12,14,67,104,6,2,0,0,0,12,5,1,2,262,0,11,273,530
5,6,COLIMA,3,COLIMA,1,COLIMA,87,3,3,44,32,4,13,18,172,239,10,7,0,0,5,13,2,3,2,564,0,25,589,984
5,6,COLIMA,3,COLIMA,1,COLIMA,88,2,2,58,63,2,14,9,64,202,11,1,0,0,9,17,8,3,0,461,1,21,483,1089
5,6,COLIMA,3,COLIMA,1,COLIMA,89,2,2,49,31,1,11,8,87,127,8,0,0,0,3,12,8,0,0,345,0,18,363,865
