CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,C,1,0,C01,0,3,2,25,14,11,7,236,5,0,0,8,0,311,0,18,329,496,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0126_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,B,1,0,B,0,0,8,14,0,0,5,295,0,0,0,0,0,322,0,12,334,574,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0128_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,C,1,0,C01,0,0,3,3,5,6,6,262,0,0,0,0,1,286,0,8,294,574,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0128_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,E,1,0,E01,0,0,5,18,4,6,1,179,9,0,0,3,0,225,0,8,233,320,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0128_E01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,135,B,1,0,B,0,3,7,25,6,5,4,211,1,0,1,1,0,264,0,17,281,511,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/1/acta_recuento/GRUPO01.pdf
3,27,TABASCO,1,CARDENAS,2,CARDENAS,141,B,1,0,B,0,2,0,32,6,7,5,238,8,0,3,0,0,301,0,13,314,686,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0141_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,141,C,1,0,C01,0,1,6,32,9,3,4,259,7,0,5,0,0,326,0,7,333,686,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0141_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,157,B,1,0,B,0,2,6,16,10,8,5,327,14,1,0,6,0,395,0,15,410,697,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0157_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,157,C,1,0,C01,0,1,3,12,19,4,4,330,7,1,6,1,0,388,0,8,396,697,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0157_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,157,C,2,0,C02,0,7,6,14,12,5,7,321,12,0,6,4,0,394,1,7,402,696,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0157_C02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,158,B,1,0,B,0,1,2,9,9,3,4,227,0,0,0,0,0,255,0,5,260,421,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0158_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,158,C,1,0,C01,0,6,2,13,10,4,8,208,0,0,0,0,0,251,0,5,256,421,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0158_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,159,B,1,0,B,0,3,4,22,19,7,3,274,9,0,1,2,1,345,0,8,353,649,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0159_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,159,C,1,0,C01,0,5,4,10,16,3,5,246,13,0,8,3,0,313,0,13,326,649,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0159_C01.jpg
