CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,C,1,0,C01,0,40,143,69,5,11,268,0,13,281,632,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,C,2,0,C02,0,28,168,47,5,6,254,0,11,265,632,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,C,3,0,C03,0,27,174,48,6,6,261,0,8,269,632,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,62,B,1,0,B,0,4,61,5,0,1,71,0,1,72,118,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,67,B,1,0,B,0,53,234,18,3,6,314,0,25,339,577,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,68,B,1,0,B,0,22,145,22,7,4,200,0,14,214,427,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,69,B,1,0,B,0,14,267,29,19,17,346,0,13,359,656,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,70,B,1,0,B,0,36,192,49,6,4,287,0,13,300,487,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,71,B,1,0,B,0,8,68,18,5,1,100,0,10,110,212,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,72,B,1,0,B,0,35,161,33,22,1,252,0,12,264,460,Grupo de recuento,,,
