CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,384,3,3,134,148,19,,,120,,,,25,15,1,0,0,,439,,,,,,,901,1,20,922,1863
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,385,2,2,153,148,15,,,138,,,,12,21,3,0,0,,337,,,,,,,827,2,25,854,1405
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,386,3,3,196,200,27,,,125,,,,29,23,5,1,2,,329,,,,,,,937,0,16,953,1588
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,387,3,3,246,223,24,,,116,,,,22,35,10,0,0,,390,,,,,,,1066,2,20,1088,1822
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,388,2,2,129,131,16,,,75,,,,16,25,1,0,0,,206,,,,,,,599,1,8,608,977
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,389,2,2,121,117,12,,,104,,,,24,15,2,1,0,,263,,,,,,,659,1,18,678,1157
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,396,2,2,132,105,14,,,87,,,,19,8,4,0,0,,265,,,,,,,634,0,15,649,1261
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,397,2,2,154,139,30,,,104,,,,13,16,4,1,1,,253,,,,,,,715,0,22,737,1280
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,398,2,2,140,130,23,,,82,,,,21,15,4,0,0,,266,,,,,,,681,0,19,700,1287
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,399,2,2,108,140,19,,,82,,,,15,20,4,1,0,,292,,,,,,,681,0,17,698,1112
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,400,3,3,145,154,31,,,161,,,,12,23,6,1,0,,506,,,,,,,1039,1,23,1063,2216
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,401,3,3,153,155,26,,,159,,,,26,22,5,1,0,,496,,,,,,,1043,4,32,1079,2215
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,402,4,4,324,301,39,,,210,,,,37,35,14,1,0,,625,,,,,,,1586,1,42,1629,2876
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,403,2,2,222,208,18,,,107,,,,19,27,3,1,0,,294,,,,,,,899,0,16,915,1491
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,404,2,2,182,169,17,,,96,,,,12,18,3,0,0,,302,,,,,,,799,1,15,815,1372
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,405,2,2,88,55,8,,,40,,,,16,7,5,0,0,,179,,,,,,,398,0,17,415,810
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,406,2,2,163,133,14,,,89,,,,19,16,6,2,1,,235,,,,,,,678,1,15,694,1062
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,422,1,1,72,86,13,,,43,,,,7,5,1,0,0,,120,,,,,,,347,0,3,350,577
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,423,2,2,89,85,10,,,64,,,,11,14,3,0,0,,213,,,,,,,489,0,11,500,902
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,424,2,2,117,92,13,,,94,,,,13,15,3,0,0,,276,,,,,,,623,4,19,646,1217
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,425,2,2,176,153,19,,,105,,,,23,17,8,0,0,,287,,,,,,,788,1,26,815,1403
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,426,2,2,117,98,18,,,104,,,,19,12,4,1,1,,322,,,,,,,696,1,16,713,1236
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,427,3,3,125,151,20,,,126,,,,27,13,5,1,0,,417,,,,,,,885,0,25,910,1838
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,428,4,4,181,190,37,,,144,,,,39,32,1,0,1,,576,,,,,,,1201,2,33,1236,2595
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,429,4,4,236,244,33,,,179,,,,35,23,8,2,0,,465,,,,,,,1225,4,21,1250,2352
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,430,3,3,125,126,30,,,164,,,,24,18,1,0,0,,464,,,,,,,952,0,35,987,2031
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,431,3,3,185,145,27,,,156,,,,16,21,3,1,1,,510,,,,,,,1065,0,24,1089,2054
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,432,2,2,97,108,14,,,71,,,,14,6,4,0,0,,178,,,,,,,492,2,10,504,838
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,433,2,2,114,90,14,,,86,,,,18,15,2,0,1,,269,,,,,,,609,1,16,626,1210
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,434,2,2,100,108,11,,,102,,,,21,12,4,0,0,,252,,,,,,,610,0,18,628,1256
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,435,2,2,85,73,6,,,53,,,,14,8,2,1,0,,211,,,,,,,453,1,13,467,798
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,436,1,1,79,53,9,,,45,,,,11,0,0,0,0,,147,,,,,,,344,1,22,367,604
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,437,1,1,78,82,5,,,40,,,,12,15,0,0,0,,169,,,,,,,401,1,9,411,696
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,444,2,2,106,120,18,,,78,,,,21,19,2,1,1,,268,,,,,,,634,0,20,654,1104
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,445,1,1,81,55,6,,,39,,,,6,10,3,0,0,,133,,,,,,,333,0,10,343,613
