CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,706,C,1,0,C01,0,78,31,10,34,0,7,10,0,0,1,0,82,253,0,2,255,593,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,706,C,2,0,C02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,GRUPO DE RECUENTO,ANULADA,RQ-PP-12/2024,https://www.teesonora.org.mx/docs/resoluciones/2024/07/RQ-PP-12-2024.pdf
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,707,B,1,0,B,0,80,29,8,58,0,11,2,3,0,0,0,78,269,0,1,270,651,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,707,C,1,0,C01,0,72,29,4,44,0,14,7,2,0,0,0,121,293,1,13,307,651,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,708,B,1,0,B,0,45,18,9,41,0,8,2,1,0,0,0,82,206,1,7,214,530,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,708,C,1,0,C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,GRUPO DE RECUENTO,ANULADA,RQ-PP-12/2024,https://www.teesonora.org.mx/docs/resoluciones/2024/07/RQ-PP-12-2024.pdf
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,709,B,1,0,B,0,71,20,15,47,0,12,5,1,0,0,0,96,267,0,11,278,674,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,709,C,1,0,C01,0,72,43,14,56,0,14,12,2,0,0,0,97,310,0,10,320,674,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,712,B,1,0,B,0,30,11,9,29,0,1,1,1,0,0,0,65,147,0,3,150,392,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,712,C,1,0,C01,0,28,9,9,41,0,4,3,1,0,0,0,48,143,1,2,146,391,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,713,B,1,0,B,0,57,21,5,40,0,19,3,3,0,1,0,59,208,0,9,217,510,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,713,C,1,0,C01,0,42,22,7,40,0,4,5,4,0,0,0,77,201,0,6,207,509,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,713,C,2,0,C02,0,61,24,2,46,0,9,4,0,0,0,0,83,229,0,7,236,509,GRUPO DE RECUENTO,,,
