CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,SIND_MR,PT_PVEM_MORENA,1,FRANCISCO AGUILAR RODRIGUEZ,1,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,1,MARISELA CRUZ LARA,2,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,2,MIGUEL ANGEL LOMBERA CORDOVA,3,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,3,MA DEL CARMEN ZEPEDA ONTIVEROS,2,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,4,ANDRES MENDOZA ALCARAZ,1,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,5,CELENE VERENICE CORTEZ MENDOZA,2,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,6,HUGO ANDREASS MOLINA MONROY,1,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_MR,PT_PVEM_MORENA,7,MIRIAM JESSICA NUÑEZ FERNANDEZ,2,,,MORENA
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_RP,MC,1,JOSE ANTONIO ZUÑIGA ANDALUZ,1,,,MC
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,REG_RP,MC,2,SARAY SIBONEY ZARAGOZA BAUTISTA,2,,,MC
