CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2780,1,1,11,25,2,8,2,3,71,8,0,2,0,0,0,2,1,0,0,0,2,0,0,0,1,138,0,3,141,209
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2781,2,2,35,19,3,37,9,12,160,9,1,2,0,0,1,13,0,0,0,1,22,2,2,0,5,333,0,20,353,563
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2782,1,1,11,10,1,9,1,14,70,3,3,2,0,0,1,2,0,0,0,0,1,1,0,0,0,129,0,7,136,208
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2783,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2784,2,2,29,20,0,26,5,8,70,2,1,1,0,0,1,10,0,0,0,1,0,0,0,0,0,174,0,1,175,307
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2785,1,1,50,13,5,24,6,46,81,1,2,3,0,0,0,3,0,0,0,0,3,0,0,0,0,237,0,12,249,377
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2786,1,1,44,25,3,37,16,22,185,7,1,3,0,0,2,12,0,1,0,3,4,0,1,0,0,366,0,18,384,567
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2787,1,1,28,52,7,63,7,25,179,4,4,1,0,0,3,7,0,0,0,4,6,1,2,0,0,393,1,15,409,713
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2788,2,2,87,34,2,51,21,28,240,8,16,7,0,0,1,3,0,0,0,3,4,1,1,0,1,508,0,20,528,1006
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2789,1,1,8,12,0,13,8,2,88,0,0,1,0,0,3,3,0,0,0,0,2,1,0,0,0,141,0,3,144,205
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2790,2,2,135,97,5,100,11,28,257,6,11,8,1,1,2,9,1,0,0,3,7,3,5,1,0,691,0,31,722,1259
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2791,1,1,22,6,0,14,2,6,102,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,158,0,8,166,266
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2792,1,1,33,14,1,38,11,5,139,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,9,254,412
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2793,1,1,58,29,2,45,7,15,72,4,2,4,1,1,0,6,2,0,0,1,5,1,0,0,4,259,0,21,280,533
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2794,1,1,58,22,0,38,7,11,129,7,4,1,0,0,1,3,0,1,0,2,1,2,1,0,0,288,0,6,294,447
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2795,2,2,48,17,2,39,12,17,116,3,3,1,0,0,3,4,0,0,0,1,4,0,2,0,0,272,0,12,284,467
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2796,1,1,14,5,0,13,3,2,36,2,1,0,0,0,0,2,0,0,0,0,3,1,0,0,2,84,0,1,85,113
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2797,1,1,61,16,5,44,10,12,102,8,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0,267,0,13,280,490
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2798,1,1,55,24,5,30,8,12,123,6,0,1,0,0,0,3,4,0,0,0,1,9,1,0,1,283,0,13,296,561
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2799,1,1,39,11,2,18,7,7,50,3,3,5,0,0,0,3,0,0,0,0,2,0,1,0,0,151,0,6,157,273
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2800,1,1,36,16,2,24,4,12,56,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,159,0,8,167,279
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2801,1,1,49,38,0,29,6,3,114,2,2,2,0,0,1,2,1,0,0,0,2,0,3,0,1,255,0,6,261,482
