ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,55,MARISCALA DE JUAREZ,7,8,8,,602,9,,338,,434,12,294,14,127,,,,,,,,1830,0,105,1935,2935,
20,OAXACA,56,MARTIRES DE TACUBAYA,1,2,2,,48,,,261,1,465,,,,1,,,,,,,,776,0,10,786,1112,
20,OAXACA,57,MATIAS ROMERO AVENDAÑO,26,59,59,831,850,153,1166,8684,131,5207,,106,84,36,,,,,,,,17248,4,675,17927,29964,
20,OAXACA,59,MIAHUATLAN DE PORFIRIO DIAZ,23,65,66,137,256,48,459,2332,546,7862,8845,912,193,89,,,,,,,,21679,2,989,22670,36886,
20,OAXACA,66,OAXACA DE JUAREZ,169,401,402,8967,12382,3634,38655,5644,10831,38398,3140,1613,2620,7690,,,,,,,,133574,96,6605,140275,230635,
20,OAXACA,67,OCOTLAN DE MORELOS,15,34,34,182,228,47,366,1285,4431,2966,810,49,1133,272,,,,,,,,11769,5,509,12283,18209,
20,OAXACA,69,PINOTEPA DE DON LUIS,5,10,10,,193,,1206,1349,10,648,,,,23,,,,,,,,3429,1,64,3494,4790,
20,OAXACA,71,PUTLA VILLA DE GUERRERO,18,45,46,,,,,842,924,5047,,,141,58,,,,,6923,,,13935,4,723,14662,25847,
20,OAXACA,72,REFORMA DE PINEDA,2,4,4,,366,,337,198,,344,,356,6,2,,,,,,,,1609,0,61,1670,2332,
20,OAXACA,76,SALINA CRUZ,43,114,115,152,372,379,642,21999,7310,7569,224,133,120,115,,,,,,41,,39056,4,1179,40239,67359,
20,OAXACA,77,SAN AGUSTIN AMATENGO,2,2,2,,203,,19,434,6,219,16,2,2,,,,,,,,,901,3,52,956,1247,
20,OAXACA,78,SAN AGUSTIN ATENANGO,2,3,3,,289,,,151,,309,,,12,,,,,,,,,761,0,88,849,1583,
20,OAXACA,85,SAN ANDRES CABECERA NUEVA,3,5,5,,,,,530,15,295,,,562,,,,,,,,,1402,0,50,1452,2100,
20,OAXACA,86,SAN ANDRES DINICUITI,3,6,6,14,281,57,,36,,373,,,,19,,,,,,,,780,107,83,970,1808,
20,OAXACA,87,SAN ANDRES HUAXPALTEPEC,3,8,8,7,,141,1127,279,510,583,253,177,17,26,,,,,,,,3120,0,93,3213,4649,
20,OAXACA,99,SAN ANDRES ZAUTLA,2,5,5,,956,4,61,371,14,712,,,6,128,,,,,,,,2252,0,80,2332,3302,
20,OAXACA,100,SAN ANTONINO CASTILLO VELASCO,4,9,9,,89,,444,1006,151,166,865,46,,15,,,,,,,,2782,5,105,2892,4516,
20,OAXACA,115,SAN BARTOLOME AYAUTLA,3,6,7,,12,,,1030,7,379,,755,161,,,,,,,,,2344,0,62,2406,2965,
20,OAXACA,127,SAN DIONISIO DEL MAR,3,7,8,,1032,94,,,,1330,,546,13,,,,,,,,,3015,0,51,3066,4251,
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,38,38,27,170,33,443,67,8401,7855,,49,,58,,,,,,,,17103,0,413,17516,20981,
20,OAXACA,133,SAN FELIPE USILA,5,18,18,,349,4083,,,,2967,14,332,,,,,,,,,,7745,0,57,7802,9231,
20,OAXACA,138,SAN FRANCISCO DEL MAR,5,13,13,,239,,1370,596,,1111,1547,94,3,5,,,,,,,,4965,0,61,5026,6774,
20,OAXACA,140,SAN FRANCISCO IXHUATAN,9,17,17,,,,312,23,450,2438,6,,2082,100,,,,,,,,5411,1,105,5517,7672,
20,OAXACA,147,SAN FRANCISCO TELIXTLAHUACA,5,17,17,109,1287,9,,771,35,1498,2951,867,22,115,,,,,,,,7664,1,148,7813,10442,
20,OAXACA,154,SAN JACINTO AMILPAS,5,19,19,227,391,1424,529,2096,642,1760,,825,98,128,,,,,,,,8120,6,298,8424,12609,
20,OAXACA,157,SAN JERONIMO SILACAYOAPILLA,2,2,2,260,179,,,7,,188,,,4,,,,,,,,,638,0,25,663,1177,
20,OAXACA,164,SAN JOSE CHILTEPEC,6,14,14,,37,,395,1868,1614,1153,22,11,3,,,,,,,,,5103,0,138,5241,8670,
20,OAXACA,166,SAN JOSE ESTANCIA GRANDE,1,2,2,,,0,,,276,10,,4,244,1,,,,,,,,535,0,18,553,771,
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,7,7,,140,,,1340,,1349,0,,,,,,,,,,,2829,0,43,2872,3481,
20,OAXACA,170,SAN JOSE TENANGO,16,29,29,,,42,24,3746,32,5084,,,595,137,,,,,,,,9660,0,285,9945,12607,
20,OAXACA,175,SAN JUAN BAUTISTA CUICATLAN,12,20,20,110,1867,44,304,500,17,2332,40,26,4,26,,,,,,,,5270,16,213,5499,7714,
20,OAXACA,178,SAN JUAN BAUTISTA LO DE SOTO,2,4,4,305,,32,355,4,,397,,170,,8,,,,,,,,1271,0,49,1320,1884,
20,OAXACA,179,SAN JUAN BAUTISTA SUCHITEPEC,2,2,2,14,,,,2,,126,,138,,,,,,,,,,280,0,7,287,384,
20,OAXACA,181,SAN JUAN BAUTISTA TLACOATZINTEPEC,1,5,5,,408,,522,,,586,,,,1,,,,,,,,1517,0,12,1529,1766,
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,81,211,212,1019,814,206,2673,34121,857,23509,1478,4665,604,342,,,,,,,,70288,25,2571,72884,117408,
20,OAXACA,183,SAN JUAN BAUTISTA VALLE NACIONAL,15,35,35,1355,368,11,200,369,1680,2575,207,3777,417,459,,,,,,,,11418,0,465,11883,17897,
20,OAXACA,184,SAN JUAN CACAHUATEPEC,7,13,13,,,24,1818,39,34,2573,16,,,,,,,,,,,4504,0,117,4621,6795,
20,OAXACA,189,SAN JUAN COATZOSPAM,1,3,3,,260,,,321,,438,,,164,,,,,,,,,1183,0,26,1209,1519,
20,OAXACA,190,SAN JUAN COLORADO,5,13,13,,,637,23,540,16,2503,,1609,,22,,,,,,,,5350,0,113,5463,6882,
20,OAXACA,199,SAN JUAN GUICHICOVI,23,54,55,,,173,201,6447,104,7469,52,85,,1802,,,,,,,,16333,0,554,16887,23945,
20,OAXACA,200,SAN JUAN IHUALTEPEC,2,2,2,,,,,15,,155,,,16,,,,,,,,,186,0,32,218,465,
20,OAXACA,225,SAN LORENZO,3,9,9,1113,,7,1313,18,6,66,8,299,18,288,,,,,,,,3136,6,154,3296,4338,
20,OAXACA,232,SAN LUCAS OJITLAN,12,33,33,6076,434,79,,42,97,5842,20,46,,,,,,,,,,12636,0,245,12881,16352,
20,OAXACA,237,SAN MARCOS ARTEAGA,3,3,4,,15,,,,,336,,432,7,,,,,,,,,790,0,22,812,1409,
20,OAXACA,245,SAN MARTIN ZACATEPEC,2,3,3,,,,,,,256,0,,485,,,,,,,,,741,0,50,791,1212,
20,OAXACA,252,SAN MATEO RIO HONDO,4,7,7,,199,,366,,13,746,519,,19,,,,,,,,,1862,0,94,1956,2595,
20,OAXACA,258,SAN MIGUEL AHUEHUETITLAN,2,3,3,322,,,37,40,0,563,,,25,,,,,,,,,987,3,103,1093,1712,
20,OAXACA,260,SAN MIGUEL AMATITLAN,9,14,14,1473,198,103,47,963,,521,,3,11,,,,,,,,,3319,0,172,3491,5385,
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,56,57,,8485,38,376,710,106,5644,274,3925,267,,,,,,,,,19825,2,889,20716,27658,
20,OAXACA,283,SAN MIGUEL TLACAMAMA,2,6,6,,26,113,821,992,5,25,,,,0,,,,,,,,1982,0,44,2026,2760,
