CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,76,2,2,0,40,6,7,9,61,133,69,47,0,0,0,0,0,372,5,21,398,1106
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,77,3,3,287,49,3,6,26,36,156,63,33,0,0,0,0,0,659,3,27,689,1053
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,78,2,2,141,38,10,6,17,29,152,55,29,0,0,0,0,0,477,0,33,510,766
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,79,2,2,155,44,12,16,27,47,187,90,32,0,0,0,0,0,610,3,28,641,1067
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,80,2,2,119,38,6,22,21,35,212,62,40,0,0,0,0,0,555,3,23,581,952
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,81,2,2,75,22,8,16,19,29,80,86,42,0,0,0,0,0,377,4,26,407,823
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,82,1,1,62,27,5,12,22,23,128,61,21,0,0,0,0,0,361,5,18,384,681
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,83,2,2,127,33,8,18,45,156,158,65,21,0,0,0,0,0,631,14,363,1008,1180
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,84,2,2,114,39,11,18,21,35,183,94,48,0,0,0,0,0,563,2,33,598,1023
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,85,2,2,168,44,6,12,15,34,112,50,39,0,0,0,0,0,480,5,14,499,806
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,86,2,2,570,64,9,13,16,51,185,87,33,0,0,0,0,0,1028,4,21,1053,1242
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,87,2,2,0,47,4,11,16,48,170,64,30,0,0,0,0,0,390,5,22,417,1227
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,88,3,3,0,69,26,32,52,60,408,149,67,0,0,0,0,0,863,8,53,924,2220
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,89,2,2,219,50,5,17,23,30,140,79,35,0,0,0,0,0,598,4,24,626,922
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,90,2,2,250,39,9,17,18,43,174,83,32,0,0,0,0,0,665,2,27,694,1109
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,91,2,2,193,46,10,12,14,35,128,67,21,0,0,0,0,0,526,0,20,546,842
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,92,2,2,149,42,13,14,26,36,206,94,44,0,0,0,0,0,624,5,24,653,1064
